,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10.0,28.0,10.0,0.0,0.0,16.0,57.0,15.0,1.0,0.0,26.0,67.0,25.0,1.0,0.0
0,2,9.0,24.0,8.0,1.0,0.0,30.0,90.0,29.0,1.0,0.0,39.0,132.0,37.0,2.0,0.0
0,3,18.0,57.0,18.0,0.0,0.0,24.0,70.0,24.0,0.0,0.0,42.0,117.0,42.0,0.0,0.0
0,4,8.0,16.0,7.0,0.0,1.0,32.0,88.0,30.0,2.0,0.0,40.0,131.0,37.0,2.0,1.0
0,5,14.0,33.0,14.0,0.0,0.0,18.0,81.0,18.0,0.0,0.0,32.0,103.0,32.0,0.0,0.0
0,6,14.0,48.0,14.0,0.0,0.0,23.0,65.0,23.0,0.0,0.0,37.0,134.0,37.0,0.0,0.0
0,7,7.0,36.0,6.0,0.0,1.0,22.0,80.0,22.0,0.0,0.0,29.0,118.0,28.0,0.0,1.0
0,8,14.0,53.0,14.0,0.0,0.0,24.0,60.0,24.0,0.0,0.0,38.0,123.0,38.0,0.0,0.0
0,9,12.0,42.0,10.0,1.0,1.0,26.0,81.0,25.0,1.0,0.0,38.0,125.0,35.0,2.0,1.0
0,10,12.0,53.0,12.0,0.0,0.0,27.0,90.0,27.0,0.0,0.0,39.0,136.0,39.0,0.0,0.0
