,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1.0,6.0,0.0,0.0,1.0,2.0,,1.0,1.0,0.0,3.0,10.0,1.0,1.0,1.0
0,2,3.0,5.0,1.0,1.0,1.0,6.0,,1.0,5.0,0.0,9.0,10.0,2.0,6.0,1.0
0,3,7.0,15.0,5.0,1.0,1.0,8.0,,6.0,2.0,0.0,15.0,29.0,11.0,3.0,1.0
0,4,3.0,5.0,1.0,1.0,1.0,6.0,,1.0,5.0,0.0,9.0,10.0,2.0,6.0,1.0
0,5,2.0,0.0,0.0,2.0,0.0,6.0,,1.0,5.0,0.0,8.0,3.0,1.0,7.0,0.0
0,6,5.0,15.0,0.0,1.0,4.0,6.0,,1.0,4.0,1.0,12.0,19.0,2.0,6.0,4.0
0,7,3.0,6.0,2.0,0.0,1.0,7.0,,0.0,7.0,0.0,10.0,7.0,2.0,7.0,1.0
0,8,4.0,15.0,1.0,0.0,3.0,5.0,,1.0,4.0,0.0,9.0,19.0,2.0,4.0,3.0
0,9,3.0,7.0,3.0,0.0,0.0,7.0,,1.0,6.0,0.0,10.0,11.0,4.0,6.0,0.0
0,10,1.0,2.0,1.0,0.0,0.0,2.0,,0.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0
